"Series","Issue Nr","Full Title","Publisher","Release Date","Creators"
"2020 Iwolverine","1","","Marvel Comics","Jul 15, 2020","Larry Hama, Roland Boschi"
"The Age of Apocalypse: The Chosen","1","Age of Apocalypse - The Chosen","Marvel Comics","Feb 07, 1995","Tim Sale, Steve Skroce, Ian Churchill"
"Alpha Flight Special 1992","1","First Flight","Marvel Comics","Jun 1992","Scott Lobdell, Simon Furman, Pat Broderick"
"The Amazing Spider-Man, Vol. 1","356","Round Robin: The Sidekick's Revenge!, Part 4: After Midnight!","Marvel Comics","Dec 1991","Al Milgrom, Mark Bagley, Randy Emberlin"
"The Amazing Spider-Man, Vol. 1","365","Fathers And Sins, 30th Anniversary","Marvel Comics","Aug 1992","Peter David, David Michelinie, Aaron Lopresti"
"The Amazing X-Men, Vol. 1","1","Age of Apocalypse - The Crossing Guard","Marvel Comics","Jan 17, 1995","Fabian Nicieza, Andy Kubert, Matt Ryan"
"The Amazing X-Men, Vol. 1","2","Age of Apocalypse - Sacrificial Lambs","Marvel Comics","Feb 21, 1995","Fabian Nicieza, Andy Kubert, Matt Ryan"
"The Amazing X-Men, Vol. 1","3","Age of Apocalypse - Parents Of The Atom","Marvel Comics","Mar 21, 1995","Fabian Nicieza, Andy Kubert, Matt Ryan"
"The Amazing X-Men, Vol. 1","4","Age of Apocalypse - On Consecrated Ground","Marvel Comics","Apr 18, 1995","Fabian Nicieza, Andy Kubert, Matt Ryan"
"Astonishing X-Men, Vol. 1","1","Age of Apocalypse - Once More, with Feeling","Marvel Comics","Jan 03, 1995","Scott Lobdell, Joe Madureira, Dan Green"
"Astonishing X-Men, Vol. 1","2","Age of Apocalypse - No Exit","Marvel Comics","Feb 07, 1995","Scott Lobdell, Joe Madureira, Dan Green"
"Astonishing X-Men, Vol. 1","4","Age of Apocalypse - Holocaust!","Marvel Comics","Apr 04, 1995","Scott Lobdell, Joe Madureira, Tim Townsend"
"The Avengers, Vol. 1","349","Death Wager","Marvel Comics","May 19, 1992","Bob Harras, Steve Epting, Tom Palmer Sr."
"The Avengers, Vol. 3","25","The Ninth Day","Marvel Comics","Feb 2000","Kurt Busiek, George Pérez, Al Vey"
"Batman versus Predator II: Bloodmatch","1","Bloodmatch","DC Comics and Dark Horse Comics","Oct 11, 1994","Doug Moench, Paul Gulacy, Terry Austin"
"Batman: Shadow of the Bat","1","The Last Arkham, Part 1","DC Comics","Apr 1992","Alan Grant, Norm Breyfogle"
"Batman: Shadow of the Bat","2","The Last Arkham, Part 2","DC Comics","May 1992","Alan Grant, Norm Breyfogle"
"Batman: Shadow of the Bat","3","The Last Arkham, Part 3","DC Comics","Jun 1992","Alan Grant, Norm Breyfogle"
"Batman: Shadow of the Bat","4","The Last Arkham, Part 4","DC Comics","Jul 1992","Alan Grant, Norm Breyfogle"
"Bill & Ted's Excellent Comic Book","1","Party On, Dudes!","Marvel Comics","Dec 1991","Evan Dorkin, Stephen DeStefano"
"The Brave and the Bold, Vol. 1","198","Terrorists Of The Heart","DC Comics","Feb 17, 1983","Mike W. Barr, Chuck Patton, Rick Hoberg"
"Cable and Deadpool Annual","1","","Marvel Comics","Aug 15, 2018","David F. Walker, Paco Diaz, Luke Ross"
"Cable, Vol. 1","16","Phalanx Covenant: Final Sanction - Part 2: The Phalanx Sanction","Marvel Comics","Aug 02, 1994","Larry Hama, Steve Skroce, Mike Sellers"
"Cable, Vol. 4","1","Big Guns","Marvel Comics","Mar 11, 2020",""
"Cable, Vol. 4","2","The Five In One","Marvel Comics","Jul 29, 2020","Gerry Duggan, Phil Noto"
"Captain America, Vol. 1","377","Streets Of Poison, The 100% Solution / Going For Broke","Marvel Comics","Sep 1990","Mark Gruenwald, Mark Bagley, Ron Lim"
"Captain America, Vol. 1","387","The Superia Stratagem, Part 1: Maiden Voyage / The Masque Club","Marvel Comics","Jul 1991","Mark Gruenwald, Dan Panosian, Rik Levins"
"Captain America, Vol. 1","405","Man And Wolf, Part 4: Dances With Werewolves / Cross Country","Marvel Comics","Aug 1992","Mark Gruenwald, Larry Alexander, Rik Levins"
"Captain Planet and the Planeteers","1","A Hero For Earth!","Marvel Comics","Oct 1991","Barry Dutter, Jim Salicrup, Jose Delbo"
"Cosmic Ghost Rider","1","","Marvel Comics","Jul 04, 2018","Donny Cates, Dylan Burnett"
"Cosmic Ghost Rider","2","","Marvel Comics","Aug 01, 2018","Donny Cates, Dylan Burnett"
"Cosmic Ghost Rider Destroys Marvel History HC / TP","1","","Marvel Comics","Oct 02, 2019",""
"The Dallas Cowboys and Spider-Man","0","Spider-man and the Dallas Cowboys","Marvel Comics","1983",""
"Daredevil, Vol. 1 Annual","8","The System Bytes - Part 2: Maxed Out","Marvel Comics","1992","Gregory Wright, George Caragonne, Larry Alexander"
"Darkhawk","26","Shattered Fates, Part 1: The Fury Of Time","Marvel Comics","Apr 1993","Danny Fingeroth, Tod Smith, Chris Ivy"
"Deadpool vs. Thanos","2","Part Two","Marvel Comics","Sep 23, 2015","Tim Seeley, Elmo Bondoc"
"Deadpool Vs. X-Force","1","Time to Die","Marvel Comics","Jul 02, 2014","Duane Swierczynski, Pepe Larraz"
"Deadpool's Secret Secret Wars","1","Secret Wars ","Marvel Comics","May 20, 2015",""
"Deadpool's Secret Secret Wars","2","Secret Wars ","Marvel Comics","Jun 17, 2015","Cullen Bunn, Matteo Lolli"
"Deadpool, Vol. 4","9","The Devil & The Deep Blue Sea","Marvel Comics","May 08, 2013","Gerry Duggan, Brian Posehn, Mike Hawthorne"
"Deadpool, Vol. 4","18","The Good, The Bad & The Ugly, Part Four","Marvel Comics","Oct 09, 2013","Gerry Duggan, Brian Posehn, Declan Shalvey"
"Deadpool, Vol. 4","24","Deadpool vs. S.H.I.E.L.D., Part 4","Marvel Comics","Feb 26, 2014","Gerry Duggan, Brian Posehn, Mike Hawthorne"
"Deadpool, Vol. 4","31","Original Sin - My Robot Buddy","Marvel Comics","Jul 09, 2014","Gerry Duggan, Brian Posehn, John Lucas"
"Deadpool, Vol. 4","45","The Aristocrats / Shiklah's Catching Up / The Family S.H.I.E.L.D. / What Do We Want? Apocalypse! When Do We Want It? Now! / The Thwipster and the Quipster Battle the Hipsters! / All About the Benjamins / Parents: The Meeting / Deadpool Roasts The Marvel U","Marvel Comics","Apr 08, 2015","Gerry Duggan, Brian Posehn, Ben Acker"
"Deadpool, Vol. 4 Annual","1","Madcapped!","Marvel Comics","Nov 27, 2013","Ben Acker, Ben Blacker, Evan Shaner"
"Deadpool, Vol. 5","2","The More We Give, the More We Have","Marvel Comics","Nov 18, 2015","Gerry Duggan, Mike Hawthorne, Terry Pallot"
"Deadpool, Vol. 5","4","It Had To Be You","Marvel Comics","Dec 23, 2015","Gerry Duggan, Mike Hawthorne, Terry Pallot"
"Deadpool, Vol. 6","1","Back In Business / Good Night","Marvel Comics","Jun 06, 2018","Skottie Young, Scott Hepburn, Nic Klein"
"Deadpool, Vol. 6","2","","Marvel Comics","Jul 04, 2018","Skottie Young, Nic Klein"
"Deadpool, Vol. 6","3","","Marvel Comics","Aug 01, 2018","Skottie Young, Nic Klein"
"Deadpool, Vol. 7","1","","Marvel Comics","Nov 20, 2019","Kelly Thompson, Chris Bachalo, Wayne Faucher"
"Deadpool, Vol. 7","2","","Marvel Comics","Jan 08, 2020","Kelly Thompson, Chris Bachalo, Wayne Faucher"
"Deadpool, Vol. 7","3","","Marvel Comics","Feb 19, 2020","Kelly Thompson, Chris Bachalo, Wayne Faucher"
"Deadpool, Vol. 7","4","","Marvel Comics","Mar 18, 2020","Kelly Thompson, Irene Strychalski, Chris Bachalo"
"Deadpool, Vol. 7","5","","Marvel Comics","Jun 10, 2020","Kelly Thompson, Gerardo Sandoval"
"Deadpool, Vol. 7","6","","Marvel Comics","Aug 05, 2020","Kelly Thompson, Kevin Libranda"
"Deadpool: Assassin","1","","Marvel Comics","Jun 13, 2018","Cullen Bunn, Mark Bagley"
"Deadpool: Assassin","2","","Marvel Comics","Jun 27, 2018","Cullen Bunn, Mark Bagley, John Dell III"
"Deadpool: Assassin","3","","Marvel Comics","Jul 11, 2018","Cullen Bunn, Mark Bagley, John Dell III"
"Deadpool: Assassin","4","","Marvel Comics","Jul 25, 2018","Cullen Bunn, Mark Bagley"
"Deadpool: Assassin","5","","Marvel Comics","Aug 15, 2018","Cullen Bunn, Mark Bagley"
"Deadpool: Assassin","5","","Marvel Comics","Aug 15, 2018","Cullen Bunn, Mark Bagley"
"Deadpool: The Circle Chase","1","Ducks In A Row!","Marvel Comics","Jun 16, 1993","Fabian Nicieza, Joe Madureira, Mark Farmer"
"Deadpool: The Circle Chase","2","Rabbit Season, Duck Season","Marvel Comics","Jul 21, 1993","Fabian Nicieza, Joe Madureira, Mark Farmer"
"Deadpool: The Circle Chase","3","...And Quacks Like A Duck...","Marvel Comics","Aug 17, 1993","Fabian Nicieza, Joe Madureira, Harry Candelario"
"Deadpool: The Last Days of Magic","1","","Marvel Comics","May 18, 2016","Gerry Duggen, Scott Koblish"
"Death of Wolverine","1","Death of Wolverine, Part One: The End","Marvel Comics","Sep 03, 2014","Charles Soule, Steve McNiven, Jay Leisten"
"Death of Wolverine","2","Death of Wolverine, Part Two: Poison","Marvel Comics","Sep 10, 2014","Charles Soule, Steve McNiven, Jay Leisten"
"Death of Wolverine","3","Death of Wolverine, Part Three: Seppuku","Marvel Comics","Oct 01, 2014","Charles Soule, Steve McNiven, Jay Leisten"
"Death of Wolverine","4","Death of Wolverine, Part Four: History","Marvel Comics","Oct 15, 2014","Charles Soule, Steve McNiven, Jay Leisten"
"The Despicable Deadpool","287","Deadpool Kills Cable, Part One: Take Two","Marvel Comics","Oct 11, 2017","Gerry Duggan, Robbie Thompson, Mark Bagley"
"Double Dragon","4","Dragon's Flight","Marvel Comics","Oct 1991","Dwayne McDuffie, Steven Butler, Brad Vancata"
"Elektra: Assassin","4","Young Love","Marvel Comics","Nov 1986","Frank Miller, Bill Sienkiewicz"
"Empyre: X-Men","1","Empyre ","Marvel Comics","Jul 22, 2020","Jonathan Hickman, Tini Howard, Matteo Buffagni"
"Empyre: X-Men","2","","Marvel Comics","Aug 05, 2020","Gerry Duggan, Benjamin Percy, Leah Williams"
"Excalibur, Vol. 1","71","Fatal Attractions - Part 6: Crossing Swords","Marvel Comics","Sep 21, 1993","Scott Lobdell, Darick Robertson, Matt Ryan"
"Excalibur, Vol. 4","1","Verse I: The Accolade Of Betsy Braddock","Marvel Comics","Oct 30, 2019","Tini Howard, Marcus To"
"Excalibur, Vol. 4","2","Verse II: A Tower Of Flowers","Marvel Comics","Nov 20, 2019","Tini Howard, Marcus To"
"Excalibur, Vol. 4","3","Verse III: Three Covenants","Marvel Comics","Dec 04, 2019","Tini Howard, Marcus To"
"Excalibur, Vol. 4","4","Verse IV: Fall Back and Think of England!","Marvel Comics","Dec 18, 2019","Tini Howard, Marcus To"
"Excalibur, Vol. 4","5","Verse V: Panic on The Streets Of London","Marvel Comics","Jan 08, 2020","Tini Howard, Marcus To"
"Excalibur, Vol. 4","6","Verse VI: Watch The Throne","Marvel Comics","Jan 22, 2020","Tini Howard, Marcus To"
"Excalibur, Vol. 4","7","Verse VII: The Unspeakable and the Uneatable","Marvel Comics","Feb 12, 2020","Tini Howard, Wilton Santos, Oren Junior"
"Excalibur, Vol. 4","8","Verse VIII: The Unspeakable and the Uneatable II","Marvel Comics","Mar 04, 2020","Tini Howard, Wilton Santos"
"Excalibur, Vol. 4","9","Verse IX: Schools of Magic","Marvel Comics","Mar 18, 2020","Tini Howard, Marcus To"
"Excalibur, Vol. 4","10","A Crooked World","Marvel Comics","Jun 10, 2020","Tini Howard, Marcus To"
"Extermination, Vol. 1","1","Extermination, Part One Of Five","Marvel Comics","Aug 15, 2018","Ed Brisson, Pepe Larraz"
"Factor X","1","Age of Apocalypse - Sinister Neglect","Marvel Comics","Jan 10, 1995","John Francis Moore, Steve Epting, Al Milgrom"
"Fallen Angels, Vol. 2","1","Bushido","Marvel Comics","Nov 13, 2019","Bryan Hill, Szymon Kudranski"
"Fallen Angels, Vol. 2","2","Shoto","Marvel Comics","Nov 27, 2019","Bryan Hill, Szymon Kudranski"
"Fallen Angels, Vol. 2","3","Seppuku","Marvel Comics","Dec 11, 2019","Bryan Hill, Szymon Kudranski"
"Fallen Angels, Vol. 2","4","Shikatsu","Marvel Comics","Dec 18, 2019","Bryan Hill, Szymon Kudranski"
"Fallen Angels, Vol. 2","5","Sensei","Marvel Comics","Jan 08, 2020","Bryan Hill, Szymon Kudranski"
"Fallen Angels, Vol. 2","6","Conclusion","Marvel Comics","Jan 29, 2020","Bryan Hill, Szymon Kudranski"
"Fantastic Four, Vol. 1","367","Infinity War - By Reed... Betrayed!","Marvel Comics","Jun 24, 1992","Tom DeFalco, Paul Ryan, Chris Ivy"
"Fight Club 2 HC / TP","","Fight Club 2 #1-10, Fight Club 2 Free Comic Book Day 2 2015 story","Dark Horse Comics","Jun 15, 2016","Chuck Palahniuk, Cameron Stewart"
"Free Comic Book Day 2020 (Horizon: Zero Dawn)","0","","Titan Publishing Group Ltd.","Jul 22, 2020","Anne Toole, Ann Maulina"
"Free Comic Book Day 2020 (X-Men)","1","","Marvel Comics","Jul 15, 2020","Jonathan Hickman, Tom Taylor, Tini Howard"
"Gambit and the X-Ternals","2","Age of Apocalypse - Where No External Has Gone Before!","Marvel Comics","Feb 28, 1995","Fabian Nicieza, Tony S. Daniel, Will Conrad"
"Gambit and the X-Ternals","3","Age of Apocalypse - To The Limits Of Infinity","Marvel Comics","Mar 28, 1995","Fabian Nicieza, Salvador Larroca, Al Milgrom"
"Gambit, Vol. 1","1","Tithing","Marvel Comics","Dec 1993","Howard Mackie, Lee Weeks, Klaus Janson"
"Gambit, Vol. 1","2","Honor Amongst Thieves","Marvel Comics","Jan 1994","Howard Mackie, Lee Weeks, Klaus Janson"
"Generation Next","1","From the Top","Marvel Comics","Jan 10, 1995","Scott Lobdell, Chris Bachalo, Mark Buckingham"
"Generation X, Vol. 1","1","Third Genesis","Marvel Comics","Sep 13, 1994","Scott Lobdell, Chris Bachalo, Mark Buckingham"
"Giant-Size X-Men: Fantomex","1","","Marvel Comics","Aug 05, 2020","Jonathan Hickman, Rod Reis"
"Giant-Size X-Men: Jean Grey & Emma Frost","1","Psychic Rescue","Marvel Comics","Feb 26, 2020","Jonathan Hickman, Russell Dauterman"
"Giant-Size X-Men: Magneto","1","","","Jul 15, 2020","Jonathan Hickman, Ramon Perez"
"Giant-Size X-Men: Nightcrawler","1","","Marvel Comics","Apr 29, 2020","Jonathan Hickman, Alan Davis"
"Hawk & Dove, Vol. 2","5","Blood Brothers","DC Comics","Feb 1989","Barbara Kesel, Karl Kesel, Rob Liefeld"
"Hellions","1","Let Them Be Snakes","Marvel Comics","Mar 25, 2020","Zeb Wells, Stephen Segovia"
"Hellions","2","Blood Work","Marvel Comics","Jul 22, 2020","Zeb Wells, Stephen Segovia"
"History Of Marvel Universe Treasury Edition TP","","","Marvel Comics","Mar 11, 2020","Mark Waid, Javier Rodriguez"
"House of X / Powers of X HC","","","Marvel Comics","Dec 11, 2019","Jonathan Hickman, R.B. Silva, Pepe Larraz"
"The Hunt for Wolverine","1","Secrets And Lives / Hunter's Pryde","Marvel Comics","Apr 25, 2018","Charles Soule, David Marquez, Paulo Siqueira"
"The Hunt for Wolverine","1","","Marvel Comics","Apr 25, 2018","Charles Soule, Paulo Siqueira, David Marquez"
"Hunt For Wolverine: Mystery in Madripoor","1","Hunt for Wolverine - Hunt for Wolverine","Marvel Comics","May 23, 2018","Jim Zub, Thony Silas"
"Hunt For Wolverine: Mystery in Madripoor","2","Hunt for Wolverine ","Marvel Comics","Jun 27, 2018","Jim Zub, Thony Silas"
"Hunt For Wolverine: Mystery in Madripoor","3","Hunt for Wolverine ","Marvel Comics","Jul 25, 2018","Jim Zub, Thony Silas"
"Hunt For Wolverine: Mystery in Madripoor","4","Hunt for Wolverine ","Marvel Comics","Aug 22, 2018","Jim Zub, Leonard Kirk, Thony Silas"
"Hunt For Wolverine: The Adamantium Agenda","1","Hunt for Wolverine ","Marvel Comics","May 09, 2018","Tom Taylor, R.B. Silva"
"Hunt For Wolverine: The Adamantium Agenda","2","Hunt for Wolverine ","Marvel Comics","Jun 13, 2018","Tom Taylor, R.B. Silva"
"Hunt For Wolverine: The Adamantium Agenda","3","","Marvel Comics","Jul 11, 2018","Tom Taylor, R.B. Silva"
"Hunt For Wolverine: The Adamantium Agenda","4","Hunt for Wolverine ","Marvel Comics","Aug 08, 2018","Tom Taylor, R.B. Silva, Adriano Di Benedetto"
"Hunt For Wolverine: The Claws of a Killer","1","Hunt for Wolverine ","Marvel Comics","May 16, 2018","Mariko Tamaki, Jackson 'Butch' Guice, Butch Guice"
"Hunt For Wolverine: The Claws of a Killer","2","Hunt for Wolverine ","Marvel Comics","Jun 20, 2018","Mariko Tamaki, Jackson 'Butch' Guice, Butch Guice"
"Hunt For Wolverine: The Claws of a Killer","3","Hunt for Wolverine ","Marvel Comics","Jul 18, 2018","Mariko Tamaki, Butch Guice"
"Hunt For Wolverine: The Claws of a Killer","4","Hunt for Wolverine ","Marvel Comics","Aug 15, 2018","Mariko Tamaki, Mack Chater, Butch Guice"
"Hunt For Wolverine: Weapon Lost","1","Hunt for Wolverine ","Marvel Comics","May 02, 2018","Charles Soule, Matteo Buffagni"
"Hunt For Wolverine: Weapon Lost","2","Hunt for Wolverine ","Marvel Comics","Jun 06, 2018","Charles Soule, Matteo Buffagni"
"Hunt For Wolverine: Weapon Lost","3","Hunt for Wolverine ","Marvel Comics","Jul 04, 2018","Charles Soule, Matteo Buffagni"
"Hunt For Wolverine: Weapon Lost","4","Hunt for Wolverine ","Marvel Comics","Aug 01, 2018","Charles Soule, Matteo Buffagni"
"The Immortal Hulk HC","1","","Marvel Comics","Oct 02, 2019","Al Ewing, Paul Hornschemeier, Lee Garbett"
"The Immortal Hulk HC","2","The Immortal Hulk, Vol. 2","Marvel Comics","Jul 08, 2020",""
"Infinity War","1","Infinity War - Chthonic Maneuvers","Marvel Comics","Apr 22, 1992","Jim Starlin, Ron Lim, Al Milgrom"
"Infinity War","2","Infinity War - Ethereal Revisionism","Marvel Comics","May 26, 1992","Jim Starlin, Ron Lim, Al Milgrom"
"Infinity War","3","Infinity War - Nefarious Rhapsodies","Marvel Comics","Jun 23, 1992","Jim Starlin, Ron Lim, Al Milgrom"
"Infinity War","4","Infinity War - Mortiferous Artifice","Marvel Comics","Jul 28, 1992","Jim Starlin, Ron Lim, Al Milgrom"
"Infinity War","5","Infinity War - Psychomachia!","Marvel Comics","Aug 26, 1992","Jim Starlin, Ron Lim, Al Milgrom"
"Infinity War","6","Infinity War - The Animus Engagement","Marvel Comics","Sep 23, 1992","Jim Starlin, Ron Lim, Al Milgrom"
"Iron Man, Vol. 1","200","Resolutions","Marvel Comics","Nov 1985","Denny O'Neil, Mark D. Bright, Ian Akin"
"The Life of Captain Marvel, Vol. 2","1","","Marvel Comics","Jul 18, 2018","Margaret Stohl, Carlos Pacheco"
"Man of War, Vol. 2","1","A Man At War","Malibu Comics","Apr 1993","Dan Danko, Tom Mason, Bryan Lee"
"Marauders, Vol. 1","1","","Marvel Comics","Oct 23, 2019","Gerry Duggan, Matteo Lolli"
"Marauders, Vol. 1","2","The Red Coronation","Marvel Comics","Nov 20, 2019","Gerry Duggan, Matteo Lolli"
"Marauders, Vol. 1","3","The Bishop in Black","Marvel Comics","Dec 04, 2019","Gerry Duggan, Michele Bandini, Elisabetta D'Amico"
"Marauders, Vol. 1","4","The Red Bishop","Marvel Comics","Jan 29, 2020","Gerry Duggan, Lucas Werneck"
"Marauders, Vol. 1","5","A Time To Sow","Marvel Comics","Jan 01, 2020","Gerry Duggan, Matteo Lolli, Lucas Werneck"
"Marauders, Vol. 1","6","A Time to Reap","Marvel Comics","Jan 22, 2020","Gerry Duggan, Matteo Lolli"
"Marauders, Vol. 1","7","From Emma, With Love","Marvel Comics","Feb 05, 2020","Gerry Duggan, Stefano Caselli"
"Marauders, Vol. 1","8","Furious Anger","Marvel Comics","Feb 19, 2020","Gerry Duggan, Stefano Caselli"
"Marauders, Vol. 1","9","Journey to the Center of Pyro","Marvel Comics","Mar 04, 2020","Gerry Duggan, Matteo Lolli"
"Marauders, Vol. 1","10","Leave None To Tell the Tale","Marvel Comics","May 27, 2020","Gerry Duggan, Stefano Caselli"
"Marvel Comics Presents, Vol. 1","2","Save the Tiger / Elements of Terror / Crossing Lines, Part 2: the Bad Guy / Chapter 2: First Witness / Chapter 2: Bait /","Marvel Comics","May 17, 1988","Steve Gerber, Doug Moench, Al Milgrom"
"Marvel Comics Presents, Vol. 1","3","Save the Tiger / Elements of Terror / Crossing Lines, Part 3: the Gals / Part 3: Ritual and Belief / Part 3: Fish / the Measure of a Man","Marvel Comics","May 31, 1988","Steve Gerber, Doug Moench, Al Milgrom"
"Marvel Comics Presents, Vol. 1","4","Save the Tiger / Elements of Terror / Crossing Lines, Part 4: the Ordeal / Part 4: Rage and Design / Part 4: Water / Silent Thunder","Marvel Comics","Jun 14, 1988","Steve Gerber, Doug Moench, Al Milgrom"
"Marvel Comics Presents, Vol. 1","5","Save the Tiger / Elements of Terror / Crossing Lines, Part 5: the Rescue / Part 5: God and Country / Part 5: Lures / You'll See It When You Believe It","Marvel Comics","Jun 28, 1988","Steve Gerber, Doug Moench, Terry Kavanagh"
"Marvel Comics Presents, Vol. 1","7","Save the Tiger / Elements of Terror / Crossing Lines, Part 7: Things Get Worse / Part 7: Boxes / Part 7: Hooks / From Sea To Deadly Sea","Marvel Comics","Jul 26, 1988","Steve Gerber, Doug Moench, Chris Claremont"
"Marvel Comics Presents, Vol. 1","8","Save the Tiger / Elements of Terror / Crossing Lines, Part 8: the Fight / Part 8: Prisoners / Part 8: Kills / One Day At a Time","Marvel Comics","Aug 09, 1988","Steve Gerber, Doug Moench, Sholly Fisch"
"Marvel Comics Presents, Vol. 1","9","Save the Tiger / Elements of Terror, Part 9: the Confrontation / Part 9: Breaking Faith / in the Dark / a Piece of Cake","Marvel Comics","Aug 23, 1988","Scott Lobdell, Steve Gerber, Marcus McLaurin"
