Stock #,VIN,Year,Make,Model,Odometer,Certified,Photo Count,Color,Interior,Price,"AutoTrader.com
SRP","AutoTrader.com
VDP",MMR Wholesale,KBB Lending,Age,timestamp
9VE86520T,WBAUL73589VE86520,2009,BMW,1 Series,61296.0,No,0,Space Gray Metallic,Black Leather,14890.0,456.0,11.0,7200,11880,2,2021-09-02 05:03:52
HJ016796C3,WDDVP9AB0HJ016796,2017,Mercedes-Benz,B-Class,24122.0,No,0,Polar Silver Metallic,Crystal Gray w/MB-Tex Upholstery,21885.0,56.0,5.0,15700,16632,3,2021-09-02 05:03:52
JU270084C3,55SWF6EBXJU270084,2018,Mercedes-Benz,C-Class,18132.0,No,0,Polar White,Black w/Red Stitching w/Leather Upholstery,48865.0,17.0,0.0,43000,44063,3,2021-09-02 05:03:52
JB076375C3,4JGDA5JB7JB076375,2018,Mercedes-Benz,GLE,42945.0,No,0,Selenite Gray Metallic,Espresso Brown w/MB-Tex Leatherette Seat Trim,46865.0,9.0,0.0,35900,36497,3,2021-09-02 05:03:52
LU030682C3,W1NTG4GB6LU030682,2020,Mercedes-Benz,GLA,7304.0,No,0,Polar White,Sahara Beige w/MB-Tex Upholstery,39870.0,13.0,0.0,34700,35911,3,2021-09-02 05:03:52
L3756715,W1WV0FEY7L3756715,2020,Mercedes-Benz,Metris,5.0,No,0,Obsidian Black Metallic,black,82999.0,610.0,0.0,25900,34994,3,2021-09-02 05:03:52
L3761039,W1WV0FEY7L3761039,2020,Mercedes-Benz,Metris,5.0,No,0,Obsidian Black Metallic,black,82999.0,630.0,0.0,25900,34994,3,2021-09-02 05:03:52
L3757942,W1WV0FEY1L3757942,2020,Mercedes-Benz,Metris,5.0,No,0,Obsidian Black Metallic,black,82999.0,620.0,0.0,25900,34994,3,2021-09-02 05:03:52
L3760486,W1WV0FEY5L3760486,2020,Mercedes-Benz,Metris,5.0,No,0,Obsidian Black Metallic,black,82999.0,635.0,0.0,25900,34994,3,2021-09-02 05:03:52
L3755351,W1WV0FEY1L3755351,2020,Mercedes-Benz,Metris,5.0,No,0,Obsidian Black Metallic,black,82999.0,661.0,0.0,25900,34994,3,2021-09-02 05:03:52
L3751674,W1WV0FEY5L3751674,2020,Mercedes-Benz,Metris,5.0,No,2,Obsidian Black Metallic,black,82999.0,700.0,11.0,25900,34994,3,2021-09-02 05:03:52
L3750852,W1WV0FEY9L3750852,2020,Mercedes-Benz,Metris,5.0,No,0,Obsidian Black Metallic,black,82999.0,615.0,0.0,25900,34994,3,2021-09-02 05:03:52
L3754160,W1WV0FEY0L3754160,2020,Mercedes-Benz,Metris,5.0,No,11,Obsidian Black Metallic,black,82999.0,1311.0,34.0,25900,34994,3,2021-09-02 05:03:52
L3750781,W1WV0FEY1L3750781,2020,Mercedes-Benz,Metris,5.0,No,0,Obsidian Black Metallic,black,82999.0,812.0,1.0,25900,34994,3,2021-09-02 05:03:52
L3757495,W1WV0FEY2L3757495,2020,Mercedes-Benz,Metris,5.0,No,20,Obsidian Black Metallic,black,82999.0,754.0,40.0,25900,34994,3,2021-09-02 05:03:52
L3759707,W1WV0FEY1L3759707,2020,Mercedes-Benz,Metris,5.0,No,3,Obsidian Black Metallic,black,82999.0,764.0,16.0,25900,34994,3,2021-09-02 05:03:52
L3758055,W1WV0FEY1L3758055,2020,Mercedes-Benz,Metris,5.0,No,0,Obsidian Black Metallic,black,82999.0,834.0,0.0,25900,34994,3,2021-09-02 05:03:52
L3754724,W1WV0FEY9L3754724,2020,Mercedes-Benz,Metris,5.0,No,0,Obsidian Black Metallic,black,82999.0,647.0,1.0,25900,34994,3,2021-09-02 05:03:52
L3759169,W1WV0FEYXL3759169,2020,Mercedes-Benz,Metris,5.0,No,11,Obsidian Black Metallic,black,82999.0,820.0,17.0,25900,34994,3,2021-09-02 05:03:52
FA508661T,4JGDA5HB7FA508661,2015,Mercedes-Benz,M-Class,63233.0,No,0,Black,Almond Beige/Mocha w/MB-Tex Leatherette Seat Trim,27880.0,18.0,0.0,23400,25292,4,2021-09-02 05:03:52
DU249310T,4T1BF1FK8DU249310,2013,Toyota,Camry,61343.0,No,9,Super White,Ash w/Fabric Seat Trim,14900.0,48.0,0.0,12000,13295,5,2021-09-02 05:03:52
GB192610T,WDDHF8JB2GB192610,2016,Mercedes-Benz,E-Class,42441.0,No,0,Black,Black w/MB-Tex Upholstery,28965.0,79.0,3.0,24800,27184,5,2021-09-02 05:03:52
L3201533T,4S4BTAAC1L3201533,2020,Subaru,Outback,17332.0,No,0,Ice Silver Metallic,slate black Cloth,29885.0,18.0,0.0,26900,28266,5,2021-09-02 05:03:52
HL573487T,1C4BJWEG0HL573487,2017,Jeep,Wrangler,35079.0,No,0,Black Clearcoat,Black Cloth,38910.0,7.0,0.0,35500,36293,5,2021-09-02 05:03:52
JU258171T,55SWF4JB8JU258171,2018,Mercedes-Benz,C-Class,7965.0,No,0,Selenite Gray Metallic,Black w/MB-Tex Upholstery,31205.0,23.0,0.0,32700,32768,5,2021-09-02 05:03:52
HA049636T,WDDZF4KB3HA049636,2017,Mercedes-Benz,E-Class,38463.0,No,0,Iridium Silver Metallic,Black w/MB-Tex Upholstery,34470.0,53.0,1.0,31600,33516,5,2021-09-02 05:03:52
B5025354T,JTJBM7FX8B5025354,2011,Lexus,GX,87602.0,No,0,Gray,Leather,26450.0,149.0,9.0,20800,24163,6,2021-09-02 05:03:52
HA316026C3,WDDUG8FB7HA316026,2017,Mercedes-Benz,S-Class,37862.0,No,0,Iridium Silver Metallic,Black w/Leather Upholstery,59835.0,124.0,3.0,51600,56364,6,2021-09-02 05:03:52
JU236240C3,55SWF4KB3JU236240,2018,Mercedes-Benz,C-Class,15246.0,No,0,Black,Black w/MB-Tex Upholstery,34885.0,35.0,1.0,31700,32914,6,2021-09-02 05:03:52
JV086254C3,WDC0G4JB6JV086254,2018,Mercedes-Benz,GLC,29019.0,No,0,Polar White,Silk Beige/Black w/MB-Tex Upholstery,36890.0,21.0,0.0,31700,32115,6,2021-09-02 05:03:52
JF067307C3,WDD1J6FB5JF067307,2018,Mercedes-Benz,E-Class,25273.0,No,0,Black,Black w/Nappa Leather Upholstery,49870.0,102.0,0.0,42900,44308,6,2021-09-02 05:03:52
JB110430C3,4JGDF6EE2JB110430,2018,Mercedes-Benz,GLS,20449.0,No,13,Selenite Gray,Black w/MB-Tex Upholstery,62885.0,39.0,1.0,54100,55508,6,2021-09-02 05:03:52
KS595780T,5TDJZRFH5KS595780,2019,Toyota,Highlander,18572.0,No,12,Blizzard Pearl,Black w/Leather Seat Trim,39855.0,19.0,0.0,38100,39669,6,2021-09-02 05:03:52
LW006032C3,WDC4M4HBXLW006032,2020,Mercedes-Benz,GLB,11186.0,No,0,Cosmos Black Metallic,Black w/MB-Tex Upholstery,44870.0,18.0,0.0,41500,41441,6,2021-09-02 05:03:52
LW038391C3,WDD3G4EB7LW038391,2020,Mercedes-Benz,A-Class,14256.0,No,0,Digital White Metallic,Macchiato Beige w/MB-Tex Upholstery,36875.0,46.0,0.0,32700,33192,6,2021-09-02 05:03:52
GR255903T,1GYS4CKJ4GR255903,2016,Cadillac,Escalade,21560.0,No,27,Black Raven,Kona Brown With Jet Black Accents Leather,60950.0,601.0,32.0,51200,58683,6,2021-09-02 05:03:52
D0A11834T,5UXWX9C52D0A11834,2013,BMW,X3,103700.0,No,0,Jet Black,Oyster Leather,13885.0,42.0,1.0,9550,10467,7,2021-09-02 05:03:52
EG209398T,WDCGG8JB0EG209398,2014,Mercedes-Benz,GLK,61571.0,No,0,White,Sahara Beige/Mocha w/MB-Tex Upholstery,22865.0,39.0,0.0,18750,20378,7,2021-09-02 05:03:52
F0P01236T,5UXKR0C58F0P01236,2015,BMW,X5,45778.0,No,9,Brown Metallic,Canberra Beige Leather,29805.0,843.0,76.0,25100,27844,7,2021-09-02 05:03:52
FVZ93918T,WBAVM1C59FVZ93918,2015,BMW,X1,50878.0,No,0,Le Mans Blue Metallic,Sand Beige Leather,19485.0,86.0,2.0,14700,15992,7,2021-09-02 05:03:52
HU206407C3,55SWF4JB1HU206407,2017,Mercedes-Benz,C-Class,32347.0,No,0,Black,Black w/MB-Tex Upholstery,27870.0,16.0,0.0,24900,26248,7,2021-09-02 05:03:52
JA436786C3,WDDZF4JB8JA436786,2018,Mercedes-Benz,E-Class,16115.0,No,9,Diamond Silver Metallic,Macchiato Beige / Black w/MB-Tex Upholstery,41875.0,43.0,0.0,39700,40743,7,2021-09-02 05:03:52
LA176516C3,4JGFB4JB5LA176516,2020,Mercedes-Benz,GLE,16114.0,No,0,Black,Macchiato/Magmagray w/MB-Tex Leatherette Seat Trim,59725.0,92.0,1.0,57400,56375,7,2021-09-02 05:03:52
LA848630C3,W1KZF8DB2LA848630,2020,Mercedes-Benz,E-Class,15786.0,No,0,Black,Macchiato Beige/Black w/MB-Tex Upholstery,53860.0,55.0,0.0,46200,46434,7,2021-09-02 05:03:52
LJ688300C3,WDCTG4EB4LJ688300,2020,Mercedes-Benz,GLA,7805.0,No,17,Polar White,Black w/MB-Tex Upholstery,37995.0,28.0,0.0,33200,32855,7,2021-09-02 05:03:52
JA440146C3,WDDZF6GBXJA440146,2018,Mercedes-Benz,E-Class,31221.0,No,0,Selenite Gray Metallic,Black w/MB-Tex Upholstery,45850.0,67.0,3.0,39400,42506,7,2021-09-02 05:03:52
FNT02402T,WBA3B1G56FNT02402,2015,BMW,3 Series,59061.0,No,9,Silver Metallic,Venetian Beige,18470.0,264.0,2.0,13800,16413,8,2021-09-02 05:03:52
JC503092T,1C4RJFBG0JC503092,2018,Jeep,Grand Cherokee,17443.0,No,9,Diamond Black Crystal Pearlcoat,Black Leather,35815.0,131.0,11.0,32600,34524,8,2021-09-02 05:03:52
JA472815P,WDC0G6EB0JF472815,2018,Mercedes-Benz,GLC,19911.0,No,4,Polar White,Black w/Red Stitching w/Leather Upholstery or Leather Upholstery,50955.0,269.0,20.0,47700,48496,8,2021-09-02 05:03:52
